Task 7 running algorithm: linearSwitchFromRandom
cn16.hpc.itu.dk
nsio
/home/nsio/bachelorProject/hpc-jobs
Running iterations for algorithm: linearSwitchFromRandom
  Completed 100 iterations for size 8, cohesion 0.
  Completed 100 iterations for size 8, cohesion 10.
  Completed 100 iterations for size 8, cohesion 20.
  Completed 100 iterations for size 8, cohesion 30.
  Completed 100 iterations for size 8, cohesion 40.
  Completed 100 iterations for size 8, cohesion 50.
  Completed 100 iterations for size 8, cohesion 60.
  Completed 100 iterations for size 8, cohesion 70.
  Completed 100 iterations for size 8, cohesion 80.
  Completed 100 iterations for size 8, cohesion 90.
  Completed 100 iterations for size 8, cohesion 100.
  Completed 100 iterations for size 30, cohesion 0.
  Completed 100 iterations for size 30, cohesion 10.
  Completed 100 iterations for size 30, cohesion 20.
  Completed 100 iterations for size 30, cohesion 30.
  Completed 100 iterations for size 30, cohesion 40.
  Completed 100 iterations for size 30, cohesion 50.
  Completed 100 iterations for size 30, cohesion 60.
  Completed 100 iterations for size 30, cohesion 70.
  Completed 100 iterations for size 30, cohesion 80.
  Completed 100 iterations for size 30, cohesion 90.
  Completed 100 iterations for size 30, cohesion 100.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 49 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 50 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 51 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 53 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 54 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 55 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 56 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 57 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 58 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 59 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 60 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 61 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 63 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 64 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 65 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 66 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 67 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 68 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 69 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 70 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 73 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 75 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 76 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 77 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 78 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 79 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 80 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 81 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 83 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 84 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 85 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 88 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 89 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 90 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 91 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 92 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 93 took longer than 30 seconds.
  Timeout! linearSwitchFromRandom at size 100, cohesion 20, iter 94 took longer than 30 seconds.
