algorithm,n_people,cohesion,iteration,score,time
annealingFromFluent,8,60,35,364.96,0.19157147407531738
annealingFromFluent,8,60,36,517.45,0.19320321083068848
annealingFromFluent,8,60,37,497.13,0.2079312801361084
annealingFromFluent,8,60,38,431.09,0.20594120025634766
annealingFromFluent,8,60,39,436.92,0.20508718490600586
annealingFromFluent,8,60,40,449.71,0.1945476531982422
annealingFromFluent,8,60,41,475.19,0.1948549747467041
annealingFromFluent,8,60,42,548.48,0.20151090621948242
annealingFromFluent,8,60,43,504.15,0.19319653511047363
annealingFromFluent,8,60,44,442.31,0.19862866401672363
annealingFromFluent,8,60,45,435.43,0.19036078453063965
annealingFromFluent,8,60,46,576.18,0.1998274326324463
annealingFromFluent,8,60,47,584.27,0.20014715194702148
annealingFromFluent,8,60,48,444.07,0.2067890167236328
annealingFromFluent,8,60,49,439.77,0.19892072677612305
annealingFromFluent,8,60,50,442.83,0.2048320770263672
annealingFromFluent,8,60,51,468.53,0.192047119140625
annealingFromFluent,8,60,52,469.99,0.19231104850769043
annealingFromFluent,8,60,53,386.99,0.20739412307739258
annealingFromFluent,8,60,54,493.42,0.1932666301727295
annealingFromFluent,8,60,55,519.71,0.2125093936920166
annealingFromFluent,8,60,56,317.25,0.19353199005126953
annealingFromFluent,8,60,57,483.48,0.18463492393493652
annealingFromFluent,8,60,58,526.0,0.1932671070098877
annealingFromFluent,8,60,59,444.68,0.19562149047851562
annealingFromFluent,8,60,60,452.21,0.19779491424560547
annealingFromFluent,8,60,61,473.15,0.18403911590576172
annealingFromFluent,8,60,62,333.33,0.19190239906311035
annealingFromFluent,8,60,63,455.77,0.18840312957763672
annealingFromFluent,8,60,64,450.37,0.1842207908630371
annealingFromFluent,8,60,65,466.37,0.19925570487976074
annealingFromFluent,8,60,66,407.82,0.19576430320739746
annealingFromFluent,8,60,67,385.33,0.18651151657104492
annealingFromFluent,8,60,68,557.31,0.19698166847229004
annealingFromFluent,8,60,69,434.92,0.18957805633544922
annealingFromFluent,8,60,70,319.7,0.205946683883667
annealingFromFluent,8,60,71,444.55,0.18512654304504395
annealingFromFluent,8,60,72,550.11,0.19207453727722168
annealingFromFluent,8,60,73,405.45,0.19103360176086426
annealingFromFluent,8,60,74,372.66,0.18416619300842285
annealingFromFluent,8,60,75,386.86,0.17293405532836914
annealingFromFluent,8,60,76,366.88,0.1982593536376953
annealingFromFluent,8,60,77,417.95,0.208709716796875
annealingFromFluent,8,60,78,388.4,0.1919994354248047
annealingFromFluent,8,60,79,457.55,0.19315838813781738
annealingFromFluent,8,60,80,390.56,0.21574807167053223
annealingFromFluent,8,60,81,405.98,0.2092113494873047
annealingFromFluent,8,60,82,593.94,0.20356106758117676
annealingFromFluent,8,60,83,523.7,0.19275593757629395
annealingFromFluent,8,60,84,375.07,0.18817758560180664
annealingFromFluent,8,60,85,379.63,0.19620013236999512
annealingFromFluent,8,60,86,522.09,0.1922917366027832
annealingFromFluent,8,60,87,500.85,0.19114947319030762
annealingFromFluent,8,60,88,572.56,0.19835805892944336
annealingFromFluent,8,60,89,413.07,0.20061039924621582
annealingFromFluent,8,60,90,429.6,0.2044084072113037
annealingFromFluent,8,60,91,371.57,0.1865558624267578
annealingFromFluent,8,60,92,461.58,0.20360398292541504
annealingFromFluent,8,60,93,357.43,0.19945979118347168
annealingFromFluent,8,60,94,348.21,0.20030903816223145
annealingFromFluent,8,60,95,399.12,0.21554112434387207
annealingFromFluent,8,60,96,427.71,0.20510053634643555
annealingFromFluent,8,60,97,318.8,0.20105981826782227
annealingFromFluent,8,60,98,492.17,0.1973123550415039
annealingFromFluent,8,60,99,430.36,0.18073225021362305
annealingFromFluent,8,70,0,631.44,0.20024871826171875
annealingFromFluent,8,70,1,348.63,0.1991729736328125
annealingFromFluent,8,70,2,423.31,0.1824641227722168
annealingFromFluent,8,70,3,338.23,0.2081613540649414
annealingFromFluent,8,70,4,429.99,0.20727062225341797
annealingFromFluent,8,70,5,504.38,0.19643211364746094
annealingFromFluent,8,70,6,378.97,0.1868760585784912
annealingFromFluent,8,70,7,452.65,0.2052021026611328
annealingFromFluent,8,70,8,394.17,0.20537209510803223
annealingFromFluent,8,70,9,407.71,0.2032639980316162
annealingFromFluent,8,70,10,432.15,0.20329618453979492
annealingFromFluent,8,70,11,484.33,0.1995553970336914
annealingFromFluent,8,70,12,533.9,0.19149136543273926
annealingFromFluent,8,70,13,406.69,0.21045637130737305
annealingFromFluent,8,70,14,568.63,0.2028493881225586
annealingFromFluent,8,70,15,432.28,0.19002771377563477
annealingFromFluent,8,70,16,292.67,0.17601299285888672
annealingFromFluent,8,70,17,354.57,0.21129608154296875
annealingFromFluent,8,70,18,465.08,0.1905198097229004
annealingFromFluent,8,70,19,374.74,0.19980788230895996
annealingFromFluent,8,70,20,453.04,0.2018566131591797
annealingFromFluent,8,70,21,339.55,0.1988987922668457
annealingFromFluent,8,70,22,434.97,0.21117162704467773
annealingFromFluent,8,70,23,424.6,0.20283079147338867
annealingFromFluent,8,70,24,414.46,0.20322370529174805
annealingFromFluent,8,70,25,425.31,0.20797085762023926
annealingFromFluent,8,70,26,387.67,0.1870114803314209
annealingFromFluent,8,70,27,423.12,0.1935873031616211
annealingFromFluent,8,70,28,455.81,0.18654394149780273
annealingFromFluent,8,70,29,390.07,0.20433640480041504
annealingFromFluent,8,70,30,412.29,0.1913909912109375
annealingFromFluent,8,70,31,561.79,0.2184138298034668
annealingFromFluent,8,70,32,336.37,0.18777680397033691
annealingFromFluent,8,70,33,447.48,0.18378591537475586
annealingFromFluent,8,70,34,458.34,0.2021174430847168
annealingFromFluent,8,70,35,362.58,0.18244147300720215
annealingFromFluent,8,70,36,517.45,0.19591760635375977
annealingFromFluent,8,70,37,497.13,0.21484947204589844
annealingFromFluent,8,70,38,431.09,0.1997976303100586
annealingFromFluent,8,70,39,436.92,0.20482707023620605
annealingFromFluent,8,70,40,449.71,0.1988058090209961
annealingFromFluent,8,70,41,475.19,0.18962311744689941
annealingFromFluent,8,70,42,548.48,0.19646620750427246
annealingFromFluent,8,70,43,504.15,0.19897985458374023
annealingFromFluent,8,70,44,442.31,0.1963813304901123
annealingFromFluent,8,70,45,435.43,0.19090700149536133
annealingFromFluent,8,70,46,576.18,0.19800329208374023
annealingFromFluent,8,70,47,584.27,0.19386005401611328
annealingFromFluent,8,70,48,444.96,0.18931293487548828
annealingFromFluent,8,70,49,439.77,0.19492888450622559
annealingFromFluent,8,70,50,442.83,0.19546890258789062
annealingFromFluent,8,70,51,468.53,0.20589971542358398
annealingFromFluent,8,70,52,469.99,0.20279955863952637
annealingFromFluent,8,70,53,386.99,0.20252275466918945
annealingFromFluent,8,70,54,493.42,0.19954991340637207
annealingFromFluent,8,70,55,519.71,0.20508313179016113
annealingFromFluent,8,70,56,317.25,0.18795013427734375
annealingFromFluent,8,70,57,483.48,0.19605207443237305
annealingFromFluent,8,70,58,526.77,0.19982004165649414
annealingFromFluent,8,70,59,441.93,0.19446682929992676
annealingFromFluent,8,70,60,452.21,0.20776963233947754
annealingFromFluent,8,70,61,473.15,0.1926283836364746
annealingFromFluent,8,70,62,333.33,0.1854870319366455
annealingFromFluent,8,70,63,455.77,0.19225621223449707
annealingFromFluent,8,70,64,450.37,0.18960785865783691
annealingFromFluent,8,70,65,466.37,0.19796085357666016
annealingFromFluent,8,70,66,407.82,0.1984109878540039
annealingFromFluent,8,70,67,385.72,0.18125104904174805
annealingFromFluent,8,70,68,557.31,0.19975900650024414
annealingFromFluent,8,70,69,434.92,0.2021653652191162
annealingFromFluent,8,70,70,319.7,0.20229411125183105
annealingFromFluent,8,70,71,444.55,0.19168734550476074
annealingFromFluent,8,70,72,550.11,0.18103766441345215
annealingFromFluent,8,70,73,405.45,0.19943618774414062
annealingFromFluent,8,70,74,372.66,0.20331406593322754
annealingFromFluent,8,70,75,388.15,0.18511629104614258
annealingFromFluent,8,70,76,367.67,0.21198463439941406
annealingFromFluent,8,70,77,417.95,0.1909024715423584
annealingFromFluent,8,70,78,385.77,0.19654154777526855
annealingFromFluent,8,70,79,457.55,0.18471980094909668
annealingFromFluent,8,70,80,390.56,0.202423095703125
annealingFromFluent,8,70,81,409.16,0.22156715393066406
annealingFromFluent,8,70,82,593.94,0.2052443027496338
annealingFromFluent,8,70,83,523.7,0.20400381088256836
annealingFromFluent,8,70,84,375.07,0.18517518043518066
annealingFromFluent,8,70,85,379.63,0.19788074493408203
annealingFromFluent,8,70,86,522.09,0.18209600448608398
annealingFromFluent,8,70,87,500.85,0.1921544075012207
annealingFromFluent,8,70,88,572.56,0.21087193489074707
annealingFromFluent,8,70,89,413.07,0.19069457054138184
annealingFromFluent,8,70,90,429.6,0.19257497787475586
annealingFromFluent,8,70,91,371.57,0.18719983100891113
