algorithm,timelimit,n_people,cohesion,iteration,score,time
annealingFromFluent,0.1,300,10,51,11614.01,1.3063979148864746
annealingFromFluent,0.1,300,10,52,11852.25,1.371258020401001
annealingFromFluent,0.1,300,10,53,11282.23,1.3195290565490723
annealingFromFluent,0.1,300,10,54,11131.48,1.3382785320281982
annealingFromFluent,0.1,300,10,55,11923.49,1.4151833057403564
annealingFromFluent,0.1,300,10,56,11251.33,1.3834774494171143
annealingFromFluent,0.1,300,10,57,11521.26,1.3297455310821533
annealingFromFluent,0.1,300,10,58,11446.78,1.3919315338134766
annealingFromFluent,0.1,300,10,59,11390.29,1.3477919101715088
annealingFromFluent,0.1,300,10,60,11665.06,1.2624034881591797
annealingFromFluent,0.1,300,10,61,11659.75,1.346250295639038
annealingFromFluent,0.1,300,10,62,11452.62,1.244086503982544
annealingFromFluent,0.1,300,10,63,11958.23,1.3770735263824463
annealingFromFluent,0.1,300,10,64,11446.33,1.4077165126800537
annealingFromFluent,0.1,300,10,65,11498.27,1.3802542686462402
annealingFromFluent,0.1,300,10,66,11007.11,1.291924238204956
annealingFromFluent,0.1,300,10,67,11247.18,1.3397574424743652
annealingFromFluent,0.1,300,10,68,11539.95,1.4358532428741455
annealingFromFluent,0.1,300,10,69,11687.84,1.391326904296875
annealingFromFluent,0.1,300,10,70,11162.59,1.3567540645599365
annealingFromFluent,0.1,300,10,71,11606.34,1.3276910781860352
annealingFromFluent,0.1,300,10,72,11741.88,1.3359642028808594
annealingFromFluent,0.1,300,10,73,11375.09,1.36173677444458
annealingFromFluent,0.1,300,10,74,11624.93,1.3057668209075928
annealingFromFluent,0.1,300,10,75,10842.88,1.4030406475067139
annealingFromFluent,0.1,300,10,76,11821.04,1.3520162105560303
annealingFromFluent,0.1,300,10,77,11310.54,1.351069450378418
annealingFromFluent,0.1,300,10,78,11944.68,1.3229665756225586
annealingFromFluent,0.1,300,10,79,11832.94,1.3151302337646484
annealingFromFluent,0.1,300,10,80,11468.93,1.3863818645477295
annealingFromFluent,0.1,300,10,81,11584.03,1.357149600982666
annealingFromFluent,0.1,300,10,82,10970.38,1.3876588344573975
annealingFromFluent,0.1,300,10,83,11558.96,1.3498308658599854
annealingFromFluent,0.1,300,10,84,11006.26,1.289208173751831
annealingFromFluent,0.1,300,10,85,11259.96,1.3863506317138672
annealingFromFluent,0.1,300,10,86,11266.6,1.3548383712768555
annealingFromFluent,0.1,300,10,87,11635.26,1.4237802028656006
annealingFromFluent,0.1,300,10,88,11534.15,1.311164140701294
annealingFromFluent,0.1,300,10,89,11536.16,1.3381574153900146
annealingFromFluent,0.1,300,10,90,11121.64,1.4394536018371582
annealingFromFluent,0.1,300,10,91,11597.83,1.382049560546875
annealingFromFluent,0.1,300,10,92,11890.56,1.323542594909668
annealingFromFluent,0.1,300,10,93,11287.9,1.3300564289093018
annealingFromFluent,0.1,300,10,94,11092.15,1.390789270401001
annealingFromFluent,0.1,300,10,95,11685.61,1.3116564750671387
annealingFromFluent,0.1,300,10,96,11064.88,1.378380298614502
annealingFromFluent,0.1,300,10,97,11891.91,1.3913416862487793
annealingFromFluent,0.1,300,10,98,11283.04,1.3452038764953613
annealingFromFluent,0.1,300,10,99,11797.29,1.3457190990447998
annealingFromFluent,0.1,300,20,0,11410.01,1.2986302375793457
annealingFromFluent,0.1,300,20,1,12298.66,1.3347837924957275
annealingFromFluent,0.1,300,20,2,12204.51,1.2847707271575928
annealingFromFluent,0.1,300,20,3,11286.5,1.246917486190796
annealingFromFluent,0.1,300,20,4,12033.0,1.1536295413970947
annealingFromFluent,0.1,300,20,5,11913.82,1.209871530532837
annealingFromFluent,0.1,300,20,6,11581.95,1.2118406295776367
annealingFromFluent,0.1,300,20,7,11693.42,1.214817762374878
annealingFromFluent,0.1,300,20,8,11831.35,1.1831178665161133
annealingFromFluent,0.1,300,20,9,12081.17,1.249124526977539
annealingFromFluent,0.1,300,20,10,12233.13,1.0714924335479736
annealingFromFluent,0.1,300,20,11,12215.46,1.1451711654663086
annealingFromFluent,0.1,300,20,12,11944.59,1.282395839691162
annealingFromFluent,0.1,300,20,13,12333.6,1.2307932376861572
annealingFromFluent,0.1,300,20,14,11950.01,1.3087961673736572
annealingFromFluent,0.1,300,20,15,11620.64,1.1357550621032715
annealingFromFluent,0.1,300,20,16,11584.26,1.2690060138702393
annealingFromFluent,0.1,300,20,17,12134.16,1.1732680797576904
annealingFromFluent,0.1,300,20,18,12362.2,1.2303156852722168
annealingFromFluent,0.1,300,20,19,12123.41,1.0280663967132568
annealingFromFluent,0.1,300,20,20,11942.12,1.227259874343872
annealingFromFluent,0.1,300,20,21,12805.52,1.2651283740997314
annealingFromFluent,0.1,300,20,22,12288.7,1.181105613708496
annealingFromFluent,0.1,300,20,23,11582.44,1.2285618782043457
annealingFromFluent,0.1,300,20,24,12270.39,1.0917718410491943
annealingFromFluent,0.1,300,20,25,11976.58,1.1179373264312744
annealingFromFluent,0.1,300,20,26,11906.92,1.2145028114318848
annealingFromFluent,0.1,300,20,27,12088.04,1.3518950939178467
annealingFromFluent,0.1,300,20,28,11462.13,1.1946678161621094
annealingFromFluent,0.1,300,20,29,11759.61,1.1702029705047607
annealingFromFluent,0.1,300,20,30,12087.02,1.1438593864440918
annealingFromFluent,0.1,300,20,31,12477.85,1.0681037902832031
annealingFromFluent,0.1,300,20,32,12513.62,1.129450798034668
annealingFromFluent,0.1,300,20,33,12534.89,1.2322099208831787
annealingFromFluent,0.1,300,20,34,12225.49,1.316932201385498
annealingFromFluent,0.1,300,20,35,11537.88,1.2527077198028564
annealingFromFluent,0.1,300,20,36,12146.2,1.0891757011413574
annealingFromFluent,0.1,300,20,37,11755.42,1.0888950824737549
annealingFromFluent,0.1,300,20,38,12053.7,1.1629517078399658
annealingFromFluent,0.1,300,20,39,12339.3,1.2220637798309326
annealingFromFluent,0.1,300,20,40,11910.78,1.1636571884155273
annealingFromFluent,0.1,300,20,41,12515.05,1.1795721054077148
annealingFromFluent,0.1,300,20,42,12214.76,1.205035924911499
annealingFromFluent,0.1,300,20,43,11617.12,1.2857179641723633
annealingFromFluent,0.1,300,20,44,12071.24,1.2903218269348145
annealingFromFluent,0.1,300,20,45,11658.69,1.2410075664520264
annealingFromFluent,0.1,300,20,46,11660.94,1.304114818572998
annealingFromFluent,0.1,300,20,47,11844.62,1.1904008388519287
annealingFromFluent,0.1,300,20,48,12102.95,1.1078264713287354
annealingFromFluent,0.1,300,20,49,11775.77,1.178459644317627
annealingFromFluent,0.1,300,20,50,11931.88,1.2532446384429932
annealingFromFluent,0.1,300,20,51,12254.85,1.3257899284362793
annealingFromFluent,0.1,300,20,52,12113.82,1.2737460136413574
annealingFromFluent,0.1,300,20,53,12073.05,1.260502576828003
annealingFromFluent,0.1,300,20,54,11888.96,1.2177608013153076
annealingFromFluent,0.1,300,20,55,12194.62,1.2772698402404785
annealingFromFluent,0.1,300,20,56,11978.22,1.2220494747161865
